season,jersey_sale_rank,player_name,team_name
2024-2025,1,Luka Doncic,Los Angeles Lakers
2024-2025,2,Stephen Curry,Golden State Warriors
2024-2025,3,LeBron James,Los Angeles Lakers
2024-2025,4,Jayson Tatum,Boston Celtics
2024-2025,5,Jalen Brunson,New York Knicks
2024-2025,6,Victor Wembanyama,San Antonio Spurs
2024-2025,7,Anthony Edwards,Minnesota Timberwolves
2024-2025,8,Ja Morant,Memphis Grizzlies
2024-2025,9,Shai Gilgeous-Alexander,Oklahoma City Thunder
2024-2025,10,Nikola Jokic,Denver Nuggets
2024-2025,11,Giannis Antetokounmpo,Milwaukee Bucks
2024-2025,12,LaMelo Ball,Charlotte Hornets
2024-2025,13,Kevin Durant,Phoenix Suns
2024-2025,14,Devin Booker,Phoenix Suns
2024-2025,15,Jaylen Brown,Boston Celtics
2023-2024,1,Stephen Curry,Golden State Warriors
2023-2024,2,Jayson Tatum,Boston Celtics
2023-2024,3,LeBron James,Los Angeles Lakers
2023-2024,4,Victor Wembanyama,San Antonio Spurs
2023-2024,5,Giannis Antetokounmpo,Milwaukee Bucks
2023-2024,6,Luka Don_i_,Dallas Mavericks
2023-2024,7,Devin Booker,Phoenix Suns
2023-2024,8,Kevin Durant,Phoenix Suns
2023-2024,9,Tyrese Maxey,Philadelphia 76ers
2023-2024,10,Damian Lillard,Milwaukee Bucks
2023-2024,11,Ja Morant,Memphis Grizzlies
2023-2024,12,Joel Embiid,Philadelphia 76ers
2023-2024,13,LaMelo Ball,Charlotte Hornets
2023-2024,14,Nikola Joki_,Denver Nuggets
2023-2024,15,De'Aaron Fox,Sacramento Kings
2022-2023,1,LeBron James,Los Angeles Lakers
2022-2023,2,Stephen Curry,Golden State Warriors
2022-2023,3,Giannis Antetokounmpo,Milwaukee Bucks
2022-2023,4,Jayson Tatum,Boston Celtics
2022-2023,5,Luka Doncic,Dallas Mavericks
2022-2023,6,Kevin Durant,Brooklyn Nets
2022-2023,7,Devin Booker,Phoenix Suns
2022-2023,8,Ja Morant,Memphis Grizzlies
2022-2023,9,Kyrie Irving,Brooklyn Nets
2022-2023,10,Joel Embiid,Philadelphia 76ers
2022-2023,11,Damian Lillard,Portland Trail Blazers
2022-2023,12,LaMelo Ball,Charlotte Hornets
2022-2023,13,Nikola Joki_,Denver Nuggets
2022-2023,14,Jaylen Brown,Boston Celtics
2022-2023,15,Jordan Poole,Golden State Warriors
2021-22,1,LeBron James,Los Angeles Lakers
2020-21,1,LeBron James,Los Angeles Lakers
2019-20,1,LeBron James,Los Angeles Lakers
2018-19,1,LeBron James,Los Angeles Lakers
2017-18,1,Stephen Curry,Golden State Warriors
2016-17,1,Stephen Curry,Golden State Warriors
2015-16,1,Stephen Curry,Golden State Warriors
2014-15,1,Stephen Curry,Golden State Warriors
2013-14,1,LeBron James,Miami Heat
2012-13,1,Carmelo Anthony,New York Knicks
2011-12,1,Derrick Rose,Chicago Bulls
2010-11,1,LeBron James,Miami Heat
2009-10,1,Kobe Bryant,Los Angeles Lakers
2008-09,1,Kobe Bryant,Los Angeles Lakers
2007-08,1,Kevin Garnett,Boston Celtics
2006-07,1,Kobe Bryant,Los Angeles Lakers
2005-06,1,Kobe Bryant,Los Angeles Lakers
2004-05,1,Allen Iverson,Philadelphia 76ers
2003-04,1,Allen Iverson,Philadelphia 76ers
2002-03,1,Kobe Bryant,Los Angeles Lakers
2001-02,1,Kobe Bryant,Los Angeles Lakers
2000-01,1,Kobe Bryant,Los Angeles Lakers
