Date,Home Team,Home Score,Away Team,Away Score
20250413,Atlanta Hawks,117,Orlando Magic,105
20250413,Boston Celtics,93,Charlotte Hornets,86
20250413,Brooklyn Nets,105,New York Knicks,113
20250413,Cleveland Cavaliers,118,Indiana Pacers,126
20250413,Miami Heat,118,Washington Wizards,119
20250413,Philadelphia 76ers,102,Chicago Bulls,122
20250413,Milwaukee Bucks,140,Detroit Pistons,133
20250413,Houston Rockets,111,Denver Nuggets,126
20250413,Memphis Grizzlies,132,Dallas Mavericks,97
20250413,Minnesota Timberwolves,116,Utah Jazz,105
20250413,New Orleans Pelicans,100,Oklahoma City Thunder,115
20250413,San Antonio Spurs,125,Toronto Raptors,118
20250413,Golden State Warriors,119,LA Clippers,124
20250413,Portland Trail Blazers,109,Los Angeles Lakers,81
20250413,Sacramento Kings,109,Phoenix Suns,98
