team,valuation_2025_usd_billions,valuation_2020_usd_billions,valuation_2015_usd_billions,valuation_2010_usd_billions,valuation_2005_usd_billions,valuation_2000_usd_billions
Golden State Warriors,8.8,4.3,1.3,0.36,0.29,0.12
New York Knicks,7.5,4.6,2.5,0.66,0.54,0.28
Los Angeles Lakers,7.1,4.4,2.6,0.61,0.51,0.28
Boston Celtics,6,3.1,1.7,0.45,0.39,0.22
Los Angeles Clippers,5.5,2.6,1.6,0.31,0.24,0.13
Chicago Bulls,5,3.2,2,0.51,0.45,0.21
Houston Rockets,4.9,2.5,1.25,0.44,0.37,0.17
Brooklyn Nets*,4.8,2.5,1.5,0.3,0.31,0.13
Dallas Mavericks,4.7,2.4,1.15,0.44,0.33,0.28
Philadelphia 76ers,4.6,2,0.7,0.36,0.32,0.13
Toronto Raptors,4.4,2.1,0.92,0.36,0.29,0.12
Phoenix Suns,4.3,1.7,0.91,0.41,0.34,0.14
Miami Heat,4.25,2,1.18,0.36,0.32,0.14
Washington Wizards,4.1,1.75,0.9,0.29,0.28,0.12
Milwaukee Bucks,4,1.58,0.6,0.28,0.22,0.12
Cleveland Cavaliers,3.95,1.51,0.92,0.48,0.32,0.13
Denver Nuggets,3.9,1.6,0.86,0.35,0.29,0.12
San Antonio Spurs,3.85,1.85,1,0.4,0.34,0.13
Atlanta Hawks,3.8,1.52,0.83,0.28,0.29,0.18
Sacramento Kings,3.7,1.8,0.8,0.32,0.29,0.13
Oklahoma City Thunder ,3.65,1.58,0.93,0.31,0.23,0.19
Indiana Pacers,3.6,1.53,0.83,0.27,0.27,0.13
Utah Jazz,3.55,1.6,0.85,0.34,0.32,0.13
Portland Trail Blazers,3.5,1.9,0.94,0.36,0.32,0.13
Detroit Pistons,3.4,1.45,0.81,0.48,0.37,0.18
Charlotte Hornetsà,3.3,1.5,0.73,0.28,N/A,N/A
Orlando Magic,3.2,1.43,0.88,0.34,0.28,0.13
Minnesota Timberwolves,3.1,1.38,0.63,0.26,0.25,0.11
New Orleans Pelicansà,3.05,1.35,0.65,0.29,N/A,N/A
Memphis Grizzlies,3,1.3,0.75,0.26,0.22,0.13
