team,x_followers_millions
Los Angeles Lakers,12
Golden State Warriors,8.5
Miami Heat,6.2
Chicago Bulls,5.2
Boston Celtics,4.8
Houston Rockets,4
Cleveland Cavaliers,3.8
Oklahoma City Thunder,3.7
Brooklyn Nets,3.6
San Antonio Spurs,3.3
Dallas Mavericks,3.2
Toronto Raptors,3
New York Knicks,2.8
Portland Trail Blazers,2.7
Philadelphia 76ers,2.6
Sacramento Kings,2.5
Denver Nuggets,2.4
Phoenix Suns,2.3
Atlanta Hawks,2.2
Minnesota Timberwolves,2.1
Milwaukee Bucks,2
New Orleans Pelicans,1.9
Indiana Pacers,1.8
Utah Jazz,1.7
Charlotte Hornets,1.6
Orlando Magic,1.5
Detroit Pistons,1.4
Memphis Grizzlies,1.3
Washington Wizards,1.2
Los Angeles Clippers,1.1
